customer_id,age,income,employment_years,loan_amount,loan_tenure,emi,credit_utilization,num_loans,past_due_30,past_due_60,past_due_90,default_flag
115,57,145576,11,937766,24,53898,0.93,4,0,2,0,0
116,55,48623,20,1762460,48,5276,0.24,2,3,1,0,0
117,64,50634,3,605134,60,54237,0.78,4,3,1,0,0
118,60,129598,30,910075,24,32635,0.15,1,2,1,0,0
119,42,64334,30,1027600,24,56887,1.14,1,1,2,0,0
120,47,83648,22,1737794,48,26180,0.39,1,1,2,0,0
121,55,37054,19,1385119,36,8613,0.31,0,2,1,1,1
122,21,85028,14,780520,12,46497,0.2,3,1,0,1,1
123,55,37207,22,273734,36,3327,1.14,2,2,2,0,0
124,57,96554,27,1098278,36,42540,0.87,0,2,1,0,0
125,34,98276,15,794027,24,12666,0.9,3,0,0,0,0
126,23,67781,20,173182,24,28255,0.62,2,1,0,1,1
127,21,76035,14,98591,24,22130,0.6,2,2,2,0,0
128,25,23210,16,1250362,60,24068,0.18,2,1,0,0,0
129,46,59363,12,1073671,60,51057,0.69,1,1,2,0,0
130,34,93279,18,1396597,12,20946,0.33,1,3,1,0,0
131,59,149393,29,134106,24,22547,1.17,1,1,2,0,0
132,47,96348,17,1700882,48,21701,0.97,2,2,0,0,0
133,29,128816,13,411998,24,53588,0.52,5,0,2,1,1
134,35,138053,19,214486,60,7769,0.22,2,1,2,0,0
135,35,81262,18,1743696,24,26883,0.95,1,2,1,0,0
136,46,149832,6,660864,60,15663,0.19,2,3,0,0,0
137,62,82411,3,784303,24,40686,0.27,1,1,2,0,0
138,33,38377,33,1877528,48,52241,0.29,1,0,1,0,0
139,52,53211,1,1799404,12,39323,0.69,1,1,1,0,0
140,59,18744,4,785062,48,37162,0.96,5,2,1,1,1
141,52,39995,9,777468,60,24852,0.41,3,1,1,0,0
142,24,49542,31,142508,36,22388,0.15,2,1,1,0,0
143,50,25651,12,1407555,48,35434,0.58,0,3,2,1,1
144,57,114239,4,768693,24,24102,0.91,1,1,2,1,1
145,43,93931,9,1665328,12,23536,0.3,5,0,0,0,0
146,59,117112,9,948886,24,14355,0.3,0,1,2,0,0
147,35,31715,26,728283,24,4234,1.14,3,3,0,0,0
148,63,76350,20,1214638,48,41103,1.15,2,2,0,0,0
149,49,86425,7,1029359,12,52388,1.19,5,1,0,1,1
150,56,101120,0,1952453,36,52775,0.98,1,1,2,0,0
151,33,129889,27,422598,24,33147,0.27,1,3,1,0,0
152,52,89637,13,672672,12,52526,0.29,1,3,0,0,0
153,27,85194,20,1821555,36,25659,0.44,5,3,1,0,0
154,42,91917,29,751506,24,46271,0.42,0,1,0,0,0
155,48,79200,20,1420752,12,41127,1.15,3,0,2,1,1
156,22,120848,8,1474241,48,18560,0.96,2,3,0,0,0
157,62,121022,16,952810,24,48644,0.88,3,2,2,1,1
158,26,75058,4,591428,24,25088,0.26,1,1,1,0,0
159,48,77068,30,314814,12,4928,1.1,3,2,2,0,0
160,48,114932,18,1397239,24,59969,1.0,0,2,1,0,0
161,64,37785,32,1667376,36,42385,0.24,4,0,2,0,0
162,64,109475,12,1025315,24,42382,1.05,4,2,0,0,0
163,40,17282,13,153565,60,30184,0.36,2,3,0,0,0
164,50,82534,32,720051,36,22099,0.14,2,3,2,0,0
165,31,89964,28,941588,12,6274,0.81,3,1,1,0,0
166,48,134006,9,1788198,36,26970,0.8,2,0,1,0,0
167,45,65583,30,235964,60,27744,0.16,5,0,1,0,0
168,59,53392,5,1648459,60,39739,0.42,0,2,2,0,0
169,53,22461,0,1286855,24,10389,1.19,1,0,2,0,1
170,21,115123,6,1096094,24,19352,0.83,1,2,2,0,0
171,47,25516,26,1345237,48,54307,0.89,3,2,2,0,0
172,33,136251,20,1263088,36,23148,0.29,1,0,1,0,0
173,61,77493,27,1369350,48,33828,0.14,3,1,1,0,0
174,23,51027,15,1523042,60,4504,0.37,2,2,2,0,0
175,59,108547,22,1358876,24,58795,0.34,2,3,2,0,0
176,26,115127,19,1338220,24,40774,0.32,5,3,1,0,0
177,28,94003,24,804108,24,30743,0.27,5,0,1,1,1
178,47,54758,27,1992469,12,30894,0.71,0,0,0,0,0
179,29,69312,4,782878,60,32995,0.43,1,2,2,0,0
180,57,83670,20,1172767,24,59114,0.99,5,2,0,1,1
181,53,97279,17,1051622,60,42711,0.26,0,3,1,1,1
182,62,30434,5,1199167,24,52421,0.58,4,2,1,0,0
183,64,90769,28,1686617,36,19748,0.07,5,3,2,0,0
184,44,81677,18,1602053,60,25100,0.6,0,2,0,1,1
185,35,98555,32,1683384,48,35691,0.11,3,1,1,0,0
186,52,143379,0,316152,12,51622,1.17,3,1,0,0,0
187,52,116665,2,1536256,48,24981,0.96,0,3,0,0,0
188,44,83803,20,419552,60,34708,0.61,2,1,0,0,0
189,61,106703,34,312640,24,12246,0.15,4,1,0,1,1
190,32,36312,2,411911,60,47243,0.73,0,0,0,0,0
191,59,132961,24,1096251,12,34486,0.92,5,2,2,0,0
192,22,55379,19,335356,60,32340,0.27,2,0,2,0,0
193,23,32297,33,1905645,24,21338,0.7,0,3,0,0,0
194,57,17011,20,881659,48,52300,0.99,1,0,2,0,1
195,37,135234,22,1574205,36,5086,0.93,5,3,1,1,1
196,22,59014,5,956185,48,27535,0.97,5,1,0,0,0
197,22,109333,12,1218694,24,16860,1.06,3,0,2,0,0
198,48,26120,22,1837282,24,19013,1.13,1,1,2,0,1
199,43,37852,8,322028,12,9407,0.52,1,2,1,0,0
200,57,94239,16,166481,60,35542,0.7,5,1,1,0,0
201,52,147001,1,118259,60,26935,0.96,4,2,1,0,0
202,53,106575,18,99810,48,43477,0.85,2,1,1,0,0
203,21,110040,18,1228502,36,51079,1.19,3,0,0,0,0
204,39,20744,6,1627625,36,36111,0.07,1,0,2,0,0
205,22,57359,19,1881278,12,58550,0.46,3,1,2,0,0
206,64,113746,8,66375,24,12161,0.37,5,3,1,0,0
207,46,135906,16,288117,12,25581,0.35,2,3,2,0,0
208,52,22597,26,992722,60,34277,0.31,0,2,2,0,0
209,26,62093,1,1260213,24,23400,0.87,1,2,2,0,0
210,52,129650,18,152654,12,13419,0.15,2,1,1,0,0
211,24,135956,16,869407,48,42565,0.9,3,0,2,0,0
212,31,130598,4,1781009,60,21283,0.85,5,2,2,0,0
213,37,148241,17,250798,36,2934,0.34,2,1,2,0,0
214,58,23036,6,182955,12,36754,0.34,0,2,0,0,0
215,44,46778,16,1035926,60,23380,0.77,2,0,0,1,1
216,25,33800,3,1803565,60,16016,0.93,5,2,2,0,0
217,54,40372,24,1818106,36,57694,1.06,3,1,2,0,0
218,26,76516,4,124489,36,40233,1.03,1,2,2,0,0
219,42,35538,29,582669,36,24695,1.16,1,3,2,0,0
220,31,78918,11,194867,12,26952,0.72,4,2,2,0,0
221,36,86155,3,112999,36,44734,1.09,3,0,2,1,1
222,53,74500,23,362051,48,17721,0.98,4,0,0,0,0
223,29,125659,28,906899,60,3505,1.08,4,0,1,0,0
224,26,42716,8,1927631,36,7363,0.06,5,0,2,0,0
225,36,149308,3,743852,60,50708,1.16,5,1,2,0,0
226,49,17352,23,469627,24,45614,0.59,5,2,2,0,0
227,23,148004,13,947156,24,3010,0.97,0,2,1,0,0
228,40,91449,4,1250182,36,49692,0.2,3,2,2,1,1
229,56,23556,17,1520973,60,48250,0.51,1,2,2,0,0
230,39,101836,18,415213,24,21861,0.36,3,1,1,0,0
231,46,65098,11,594284,36,26125,0.39,5,0,2,0,0
232,23,127169,17,1826025,60,11369,0.19,0,2,1,0,0
233,39,141060,16,1204258,36,5857,0.98,3,2,1,0,0
234,40,145544,29,395753,60,28671,0.06,3,0,2,0,0
235,52,15340,23,559220,24,11864,0.41,4,3,0,0,0
236,27,97302,10,1040170,36,34490,0.25,3,3,0,1,1
237,61,15138,34,1783341,24,12120,0.73,4,0,2,0,0
238,53,146430,22,1462210,36,22223,0.34,4,2,1,0,0
239,60,134619,16,1880836,12,34150,0.35,2,0,1,0,0
240,59,100376,0,121325,24,46138,0.61,5,2,1,0,0
241,38,114931,14,1651794,24,55420,0.8,0,2,2,1,1
242,60,96532,31,426570,48,4553,0.19,4,3,0,1,1
243,21,70778,8,1116105,24,17489,0.25,3,3,1,1,1
244,31,52772,14,627834,60,6389,0.33,4,2,1,0,0
245,48,73478,27,1368662,36,51703,1.17,4,2,2,1,1
246,45,41762,23,1892556,12,23950,0.51,4,2,0,1,1
247,43,70568,34,1510088,60,13089,0.74,1,3,0,0,0
248,51,100090,21,756376,60,43999,0.33,1,2,2,0,0
249,50,35219,26,672068,60,56910,0.61,1,0,0,0,0
250,62,72169,18,1361016,60,5051,0.14,1,1,2,0,0
251,55,89965,11,1166521,12,40090,0.09,2,1,1,0,0
252,27,99754,19,109980,48,30805,0.59,4,2,2,0,0
253,36,92988,0,893214,24,31442,0.51,2,0,1,0,0
254,46,147379,20,215301,60,46557,0.21,3,2,2,0,0
255,22,95388,0,670670,24,4555,0.84,5,0,1,0,0
256,21,105768,9,1152020,24,52241,1.19,0,3,1,0,0
257,32,50428,31,347180,60,14767,0.5,2,3,2,0,0
258,25,107021,21,1607474,48,2458,0.77,1,2,1,1,1
259,57,133418,17,1358762,24,50469,1.16,1,3,0,1,1
260,52,147212,31,1924330,36,18066,1.01,3,2,2,1,1
261,29,41421,26,732527,24,6721,0.58,4,1,0,0,0
262,61,16708,27,888099,60,14446,0.9,0,0,1,0,0
263,55,149702,17,1717391,12,8304,0.2,2,0,1,0,0
264,39,91021,28,1181913,24,48333,0.64,4,1,1,0,0
265,36,59789,17,1412188,48,44967,0.37,4,1,2,1,1
266,23,41086,7,1171470,36,36688,0.24,5,1,1,0,0
267,40,31859,30,496300,36,15227,0.54,5,1,0,0,0
268,44,22684,33,637426,12,42462,0.2,2,3,0,0,0
269,53,106088,6,1383308,12,56820,0.85,2,0,2,1,1
270,44,147279,17,899333,24,8298,0.57,2,0,0,0,0
271,31,61099,8,460887,60,41397,0.66,2,1,2,0,0
272,28,81093,8,1093228,48,47487,0.22,1,2,2,0,0
273,56,63651,7,1181614,36,39914,0.21,4,2,1,0,0
274,58,28893,34,1523437,12,52155,0.72,4,2,0,0,0
275,60,81418,17,1761573,48,54235,1.18,1,2,0,1,1
276,40,140074,4,968164,60,12306,0.16,4,3,0,0,0
277,55,118065,13,419355,36,4589,0.38,2,0,1,0,0
278,45,145351,27,843354,36,39078,1.05,0,0,2,1,1
279,55,53635,29,1716561,60,37009,0.13,5,0,0,0,0
280,45,110071,3,1274369,36,56918,1.06,5,2,0,1,1
281,49,93518,19,500472,60,15601,0.65,4,1,0,1,1
282,38,121233,24,826385,36,9711,0.52,0,2,0,0,0
283,38,118651,27,953649,24,23364,0.41,5,0,1,0,0
284,22,87805,11,1954514,60,35706,0.39,0,2,2,0,0
285,55,137813,1,250015,48,31610,0.4,1,1,0,1,1
286,36,94063,13,1222914,24,39069,1.07,3,1,0,1,1
287,61,17454,21,1126419,48,5970,0.88,4,2,2,0,0
288,56,35878,30,1762982,36,5999,0.82,1,0,1,0,0
289,53,83344,22,1056840,48,23034,0.97,1,3,1,0,0
290,24,119946,19,1031489,24,57779,0.35,0,0,1,1,1
291,53,51593,3,415208,60,38176,0.76,4,3,1,0,0
292,34,51304,14,277997,12,48575,0.58,1,0,0,0,0
293,41,128613,23,1224993,48,43730,0.95,2,2,2,0,0
294,40,33354,24,1215161,12,18632,0.41,1,3,2,0,0
295,28,37190,0,604634,48,15385,0.79,2,0,2,1,1
296,27,21142,6,269356,48,59716,1.06,3,2,1,0,1
297,23,56862,30,1483872,60,7950,0.51,2,0,1,0,0
298,37,140438,11,948201,36,37694,0.13,2,1,2,0,0
299,53,63456,4,1725255,24,9975,0.64,0,1,0,0,0
300,32,115167,11,534600,24,55009,0.45,1,0,1,0,0
301,42,97035,17,1545318,24,23314,0.82,3,2,0,0,0
302,42,23016,1,1958151,36,25398,1.14,1,0,2,0,1
303,50,17384,9,1921795,12,27277,0.61,2,2,1,1,1
304,58,117239,14,870015,24,28761,0.59,5,3,0,0,0
305,58,126431,29,1242211,12,33533,0.8,2,1,1,1,1
306,28,95018,16,227132,36,8966,0.17,1,3,2,0,0
307,47,55510,3,310609,36,43901,0.34,3,2,2,0,0
308,47,36826,6,696231,60,8587,1.11,5,0,2,0,0
309,54,83026,30,819822,24,24880,0.82,3,1,0,0,0
310,41,136668,33,739050,60,7091,0.07,0,2,1,0,0
311,50,39045,5,1471953,24,43753,0.29,2,2,1,0,0
312,53,105102,33,275784,36,33130,0.84,2,1,1,0,0
313,48,66919,14,64925,36,19061,0.93,0,0,2,0,0
314,53,114441,13,1840723,48,24293,1.02,1,1,0,0,0
315,25,133325,5,1181760,48,3561,0.39,2,0,2,0,0
316,39,34337,31,1699379,36,55205,1.12,1,0,2,0,0
317,24,92949,2,249330,36,43412,0.69,3,2,0,0,0
318,55,15276,2,710715,12,49553,0.85,5,0,2,0,0
319,37,66151,21,1406789,12,5656,0.74,5,0,2,1,1
320,64,67887,21,799695,60,23618,0.19,5,1,1,0,0
321,48,96442,9,1199430,48,22530,1.16,4,1,0,1,1
322,50,64847,2,890903,48,23872,0.19,0,0,0,0,0
323,49,73653,11,344849,36,59233,0.34,5,2,1,1,1
324,26,71622,28,224981,36,30330,0.99,2,1,0,0,0
325,55,42810,16,269678,60,18139,0.76,0,3,1,0,0
326,61,92842,6,178501,48,34977,1.01,3,2,2,0,0
327,57,137225,12,1214937,12,6983,0.64,3,1,0,0,0
328,44,25503,1,1283387,24,41909,0.48,3,1,0,1,1
329,49,99761,3,257892,60,44886,1.11,3,3,2,0,0
330,51,141439,9,661561,24,51029,0.09,4,0,2,0,0
331,55,26590,23,1383961,12,23329,1.03,1,1,0,0,1
332,53,81624,16,1519206,12,59132,0.32,1,3,0,0,0
333,41,135356,5,100818,24,38734,1.03,5,3,0,0,0
334,52,57727,18,201967,60,44837,0.21,4,1,1,0,0
335,43,93471,4,404451,24,10818,0.72,1,2,0,0,0
336,53,23068,31,1292057,60,12918,1.07,3,1,0,0,1
337,23,131923,9,1547116,60,44418,0.59,1,3,2,0,0
338,38,26390,8,1427640,36,53976,0.91,0,1,2,0,1
339,45,121752,26,496771,48,3250,0.98,5,2,1,0,0
340,62,109754,12,168642,48,6758,0.9,1,0,2,0,0
341,51,90969,18,1426173,12,39131,1.11,0,0,0,0,0
342,23,92064,20,859121,36,4163,0.56,2,1,0,1,1
343,60,36281,23,245428,48,44583,0.25,0,1,1,0,0
344,44,69189,3,1846947,60,36621,0.1,0,3,2,1,1
345,52,63511,23,451468,60,19137,0.33,3,2,2,0,0
346,42,137115,34,867276,24,34103,0.21,3,3,2,1,1
347,43,23605,2,145687,24,23832,0.69,5,3,1,0,0
348,22,115318,3,1597334,60,3868,0.26,3,0,2,0,0
349,47,147453,34,1908373,60,51333,0.09,0,3,2,0,0
350,62,34810,30,1759962,24,52665,0.09,4,3,2,0,0
351,22,56869,24,1983311,48,50336,1.01,3,0,0,1,1
352,46,47955,12,340667,12,43862,0.73,3,0,1,0,0
353,37,76388,3,564513,24,21728,0.46,0,2,0,0,0
354,60,25207,13,1240130,48,40006,1.08,2,2,1,0,1
355,53,37031,12,162105,48,30029,0.13,2,2,2,1,1
356,29,95807,26,1933896,48,41857,1.18,1,1,0,0,0
357,63,86312,5,1736748,36,30183,0.76,5,0,2,0,0
358,59,74766,16,1729832,36,24785,0.26,2,1,2,0,0
359,49,104833,34,1935118,48,20940,0.83,3,1,1,0,0
360,62,126041,16,1844580,60,57250,0.93,4,2,2,1,1
361,46,131185,1,1492285,36,7280,0.54,1,0,0,0,0
362,55,25350,12,1547986,24,39012,1.04,5,1,1,0,1
363,45,115859,1,1704865,36,4164,0.22,4,3,1,0,0
364,44,83487,27,89767,60,57753,0.37,4,3,0,1,1
365,33,138853,25,603838,12,29188,0.16,3,0,2,0,0
366,27,68117,21,1622837,36,49917,0.29,0,1,2,1,1
367,56,116084,2,1243481,48,16088,0.32,0,2,2,0,0
368,40,38782,34,1232618,48,20405,1.11,0,1,2,0,0
369,21,43454,11,1721179,48,4821,0.14,2,3,2,0,0
370,28,82904,23,145494,12,57090,0.54,0,3,1,0,0
371,36,144936,4,1090016,60,24516,0.66,5,2,1,1,1
372,34,137258,19,1750288,24,12473,1.08,3,0,0,0,0
373,32,126668,12,950287,60,48454,1.2,2,1,2,0,0
374,43,139184,11,1181257,12,44530,0.92,5,3,2,1,1
375,35,31566,12,1986497,48,40737,1.17,0,1,2,0,0
376,48,53333,9,754537,60,14178,0.96,5,2,0,0,0
377,54,136929,32,966978,24,40936,1.16,4,2,2,0,0
378,22,104571,15,1350987,48,29018,0.86,3,0,1,0,0
379,52,135263,34,766861,24,19097,0.14,3,2,2,1,1
380,43,147661,2,603188,36,16096,0.51,5,0,0,0,0
381,42,40235,4,64126,24,41971,0.79,1,1,1,0,0
382,45,15159,25,1734062,48,5545,0.45,3,3,1,0,0
383,42,119859,10,1824626,36,26798,0.36,4,3,1,0,0
384,42,122507,6,1841680,48,2863,0.71,3,0,2,0,0
385,62,29743,9,391447,48,18148,1.12,1,3,0,0,1
386,26,61101,33,266651,36,23009,0.09,3,0,0,0,0
387,35,136534,2,379205,24,56459,0.93,3,0,2,0,0
388,63,99227,7,1590856,12,19809,0.88,1,1,0,0,0
389,57,86126,30,66978,12,20688,1.16,3,1,1,0,0
390,53,71071,10,1679208,12,2653,1.12,5,2,1,0,0
391,28,89763,6,1407368,12,10129,0.93,2,0,0,0,0
392,64,61154,1,1361775,60,28418,0.65,5,1,0,0,0
393,64,22016,5,125582,12,25118,0.28,3,0,2,1,1
394,25,104678,31,1331035,36,2443,0.68,0,0,2,0,0
395,59,127056,19,655502,12,29041,0.93,0,0,2,0,0
396,24,69238,33,488092,48,25843,1.08,2,1,2,1,1
397,26,73608,15,1610155,12,23053,0.96,3,0,2,0,0
398,52,104081,24,797520,24,32848,0.27,4,0,2,0,0
399,50,65961,11,1992962,36,39874,0.74,3,2,1,1,1
400,55,41917,6,1661589,36,39204,0.43,0,0,0,0,0
401,60,42990,16,448471,60,54009,0.06,1,2,2,0,0
402,36,77551,10,518163,48,44240,0.28,2,0,1,0,0
403,33,95811,5,889812,36,37807,0.18,1,2,0,1,1
404,62,70103,22,820008,24,30213,1.02,4,1,0,1,1
405,50,121122,26,627621,12,10291,0.35,3,1,0,1,1
406,39,34008,5,354603,36,45046,0.38,4,3,2,0,0
407,37,47402,1,952950,24,18285,1.15,1,0,2,0,0
408,39,128550,21,1884774,12,28886,0.49,3,3,2,0,0
409,48,106218,19,348307,60,15944,0.06,5,3,0,0,0
410,46,148296,24,1263619,36,37505,0.38,5,2,0,1,1
411,57,135779,14,1588563,36,25340,0.19,4,1,1,0,0
412,46,144714,28,1819085,24,32025,0.17,5,0,1,0,0
413,43,47441,7,1094654,48,56391,0.14,5,0,1,0,0
414,29,77368,32,1445450,60,3607,0.73,0,2,1,0,0
415,32,107122,21,331620,48,4953,0.27,5,3,0,0,0
416,21,59760,4,1429300,36,46941,0.47,0,2,2,0,0
417,21,38478,17,1350407,48,7933,1.04,2,3,2,0,0
418,54,142881,29,942008,12,13386,0.54,0,0,2,0,0
419,52,86854,30,398737,60,49989,1.1,0,2,2,1,1
420,45,109230,9,774410,48,6682,0.62,1,3,1,0,0
421,60,100716,14,1305174,12,49621,0.51,0,2,0,0,0
422,21,113538,17,1596288,24,46052,0.91,0,1,2,1,1
423,36,30372,22,1994079,48,57485,0.13,1,2,0,0,0
424,59,44796,32,1737696,60,58544,0.15,0,0,1,0,0
425,25,113826,15,1499299,12,13154,0.8,5,2,1,0,0
426,42,135592,34,1562185,48,11047,0.61,0,0,2,0,0
427,49,108635,33,717478,24,24993,0.96,2,0,2,0,0
428,23,126022,27,231601,48,12338,1.1,0,2,1,0,0
429,32,69040,1,118682,12,16323,0.5,0,2,1,0,0
430,46,90357,29,1321585,48,39693,0.74,2,2,0,0,0
431,36,93356,12,497392,60,25634,0.63,1,1,1,0,0
432,57,31211,15,1345129,36,28292,1.18,5,1,0,0,0
433,42,120426,4,1452433,12,40551,1.01,0,3,1,0,0
434,49,20842,27,1464780,12,47111,1.1,5,2,0,0,1
435,34,81852,19,709774,12,11917,0.34,4,3,1,0,0
436,48,140737,23,1181606,12,12145,0.94,5,3,1,0,0
437,25,60968,26,1218936,48,31717,0.36,1,0,0,0,0
438,50,32508,29,1970981,60,41491,0.29,1,3,0,0,0
439,25,69575,26,709297,24,51336,1.14,0,2,2,1,1
440,32,81914,25,1921739,60,18905,0.07,2,1,2,0,0
